Date,Open,High,Low,Close,Adj Close,Volume
"Aug 28, 2025","8,350.00","8,375.00","8,275.00","8,325.00","8,325.00","81,281,400"
"Aug 27, 2025","8,250.00","8,350.00","8,200.00","8,300.00","8,300.00","111,915,700"
"Aug 26, 2025","8,450.00","8,475.00","8,250.00","8,250.00","8,250.00","326,794,200"
"Aug 25, 2025","8,525.00","8,550.00","8,475.00","8,475.00","8,475.00","64,052,700"
"Aug 22, 2025","8,575.00","8,575.00","8,450.00","8,450.00","8,450.00","66,394,100"
"Aug 21, 2025","8,550.00","8,575.00","8,500.00","8,550.00","8,550.00","69,470,200"
"Aug 20, 2025","8,375.00","8,600.00","8,350.00","8,525.00","8,525.00","202,260,200"
"Aug 19, 2025","8,600.00","8,600.00","8,450.00","8,500.00","8,500.00","128,591,700"
"Aug 15, 2025","8,825.00","8,850.00","8,700.00","8,700.00","8,700.00","68,754,200"
"Aug 14, 2025","8,925.00","8,950.00","8,750.00","8,775.00","8,775.00","122,930,900"
"Aug 13, 2025","8,975.00","8,975.00","8,725.00","8,925.00","8,925.00","129,083,900"
"Aug 12, 2025","8,625.00","8,875.00","8,575.00","8,850.00","8,850.00","171,015,700"
"Aug 11, 2025","8,500.00","8,550.00","8,425.00","8,550.00","8,550.00","128,561,300"
"Aug 8, 2025","8,325.00","8,400.00","8,300.00","8,300.00","8,300.00","68,378,700"
"Aug 7, 2025","8,325.00","8,350.00","8,300.00","8,300.00","8,300.00","43,621,300"
"Aug 6, 2025","8,425.00","8,425.00","8,300.00","8,300.00","8,300.00","56,325,400"
"Aug 5, 2025","8,350.00","8,450.00","8,325.00","8,425.00","8,425.00","69,475,900"
"Aug 4, 2025","8,325.00","8,350.00","8,275.00","8,275.00","8,275.00","49,054,500"
"Aug 1, 2025","8,400.00","8,425.00","8,300.00","8,300.00","8,300.00","86,196,100"
"Jul 31, 2025","8,350.00","8,375.00","8,250.00","8,275.00","8,275.00","206,006,300"
