Date,Open,High,Low,Close,Adj Close,Volume
"Aug 28, 2025","4,130.00","4,150.00","4,110.00","4,140.00","4,140.00","60,838,200"
"Aug 27, 2025","4,130.00","4,150.00","4,070.00","4,130.00","4,130.00","123,874,000"
"Aug 26, 2025","4,220.00","4,220.00","4,170.00","4,170.00","4,170.00","267,465,600"
"Aug 25, 2025","4,180.00","4,270.00","4,170.00","4,210.00","4,210.00","195,322,200"
"Aug 22, 2025","4,170.00","4,170.00","4,100.00","4,100.00","4,100.00","71,971,500"
"Aug 21, 2025","4,160.00","4,170.00","4,090.00","4,150.00","4,150.00","112,477,700"
"Aug 20, 2025","4,050.00","4,150.00","4,050.00","4,150.00","4,150.00","173,260,400"
"Aug 19, 2025","4,090.00","4,100.00","4,010.00","4,040.00","4,040.00","208,409,700"
"Aug 15, 2025","4,100.00","4,150.00","4,070.00","4,120.00","4,120.00","269,255,400"
"Aug 14, 2025","4,080.00","4,100.00","4,040.00","4,060.00","4,060.00","164,408,100"
"Aug 13, 2025","4,060.00","4,100.00","3,990.00","4,080.00","4,080.00","292,104,000"
"Aug 12, 2025","3,860.00","4,050.00","3,830.00","4,050.00","4,050.00","404,797,800"
"Aug 11, 2025","3,720.00","3,810.00","3,720.00","3,810.00","3,810.00","143,167,900"
"Aug 8, 2025","3,710.00","3,730.00","3,700.00","3,700.00","3,700.00","133,180,100"
"Aug 7, 2025","3,730.00","3,750.00","3,700.00","3,710.00","3,710.00","92,746,000"
"Aug 6, 2025","3,770.00","3,780.00","3,710.00","3,710.00","3,710.00","100,168,200"
"Aug 5, 2025","3,700.00","3,790.00","3,700.00","3,740.00","3,740.00","184,822,600"
"Aug 4, 2025","3,720.00","3,740.00","3,690.00","3,710.00","3,710.00","104,446,300"
"Aug 1, 2025","3,800.00","3,800.00","3,740.00","3,740.00","3,740.00","134,100,500"
"Jul 31, 2025","3,780.00","3,790.00","3,700.00","3,710.00","3,710.00","163,371,700"
"Jul 30, 2025","3,910.00","3,910.00","3,770.00","3,780.00","3,780.00","206,358,500"
"Jul 29, 2025","3,930.00","3,930.00","3,900.00","3,920.00","3,920.00","98,887,100"
"Jul 28, 2025","3,940.00","3,950.00","3,920.00","3,940.00","3,940.00","94,898,300"
"Jul 25, 2025","3,950.00","3,950.00","3,870.00","3,880.00","3,880.00","86,263,700"
"Jul 24, 2025","3,830.00","3,950.00","3,820.00","3,950.00","3,950.00","206,654,200"
"Jul 23, 2025","3,840.00","3,860.00","3,790.00","3,800.00","3,800.00","132,305,000"
"Jul 22, 2025","3,860.00","3,880.00","3,830.00","3,840.00","3,840.00","84,902,800"
"Jul 21, 2025","3,890.00","3,900.00","3,830.00","3,830.00","3,830.00","89,765,800"
"Jul 18, 2025","3,910.00","3,940.00","3,860.00","3,860.00","3,860.00","111,030,000"
"Jul 17, 2025","3,930.00","3,930.00","3,880.00","3,890.00","3,890.00","111,359,500"
"Jul 16, 2025","3,950.00","3,960.00","3,880.00","3,880.00","3,880.00","241,966,800"
"Jul 15, 2025","3,800.00","3,880.00","3,780.00","3,880.00","3,880.00","183,209,300"
"Jul 14, 2025","3,880.00","3,890.00","3,750.00","3,780.00","3,780.00","167,151,400"
"Jul 11, 2025","3,920.00","3,920.00","3,870.00","3,880.00","3,880.00","255,634,700"
"Jul 10, 2025","3,690.00","3,880.00","3,680.00","3,870.00","3,870.00","290,117,200"
"Jul 9, 2025","3,650.00","3,700.00","3,650.00","3,680.00","3,680.00","92,437,900"
"Jul 8, 2025","3,690.00","3,700.00","3,650.00","3,670.00","3,670.00","115,551,200"
"Jul 7, 2025","3,670.00","3,700.00","3,650.00","3,700.00","3,700.00","78,783,800"
"Jul 4, 2025","3,680.00","3,710.00","3,650.00","3,670.00","3,670.00","91,141,200"
"Jul 3, 2025","3,710.00","3,730.00","3,680.00","3,680.00","3,680.00","119,674,300"
"Jul 2, 2025","3,650.00","3,700.00","3,640.00","3,680.00","3,680.00","220,273,500"
"Jul 1, 2025","3,780.00","3,790.00","3,670.00","3,700.00","3,700.00","212,288,800"
"Jun 30, 2025","3,840.00","3,840.00","3,730.00","3,740.00","3,740.00","271,933,200"
"Jun 26, 2025","3,780.00","3,830.00","3,750.00","3,830.00","3,830.00","171,427,000"
"Jun 25, 2025","3,830.00","3,830.00","3,730.00","3,760.00","3,760.00","164,257,700"
"Jun 24, 2025","3,820.00","3,900.00","3,770.00","3,780.00","3,780.00","281,594,300"
"Jun 23, 2025","3,730.00","3,750.00","3,660.00","3,720.00","3,720.00","222,067,700"
"Jun 20, 2025","3,740.00","3,840.00","3,740.00","3,790.00","3,790.00","516,177,900"
"Jun 19, 2025","3,900.00","3,920.00","3,800.00","3,800.00","3,800.00","355,413,000"
"Jun 18, 2025","3,950.00","3,960.00","3,900.00","3,940.00","3,940.00","140,882,100"
"Jun 17, 2025","4,010.00","4,030.00","3,960.00","3,960.00","3,960.00","125,769,400"
"Jun 16, 2025","3,980.00","4,010.00","3,960.00","3,990.00","3,990.00","155,450,700"
"Jun 13, 2025","4,020.00","4,050.00","3,980.00","4,000.00","4,000.00","283,826,000"
"Jun 12, 2025","4,070.00","4,100.00","4,060.00","4,070.00","4,070.00","113,850,500"
"Jun 11, 2025","4,130.00","4,140.00","4,060.00","4,070.00","4,070.00","196,558,700"
"Jun 10, 2025","4,100.00","4,160.00","4,100.00","4,150.00","4,150.00","179,827,500"
"Jun 5, 2025","4,110.00","4,140.00","4,050.00","4,100.00","4,100.00","230,129,500"
"Jun 4, 2025","4,230.00","4,230.00","4,080.00","4,080.00","4,080.00","279,755,300"
"Jun 3, 2025","4,210.00","4,230.00","4,120.00","4,200.00","4,200.00","277,902,300"
"Jun 2, 2025","4,360.00","4,390.00","4,200.00","4,200.00","4,200.00","389,541,100"
"May 28, 2025","4,360.00","4,450.00","4,320.00","4,450.00","4,450.00","466,133,500"
"May 27, 2025","4,320.00","4,370.00","4,280.00","4,370.00","4,370.00","180,028,000"
"May 26, 2025","4,350.00","4,350.00","4,260.00","4,320.00","4,320.00","149,418,600"
"May 23, 2025","4,350.00","4,370.00","4,330.00","4,350.00","4,350.00","108,182,800"
"May 22, 2025","4,280.00","4,310.00","4,240.00","4,300.00","4,300.00","208,291,800"
"May 21, 2025","4,210.00","4,310.00","4,210.00","4,260.00","4,260.00","256,020,200"
"May 20, 2025","4,230.00","4,280.00","4,170.00","4,210.00","4,210.00","209,576,900"
"May 19, 2025","4,230.00","4,260.00","4,200.00","4,230.00","4,230.00","145,935,500"
"May 16, 2025","4,310.00","4,330.00","4,160.00","4,250.00","4,250.00","289,337,600"
"May 15, 2025","4,140.00","4,310.00","4,130.00","4,270.00","4,270.00","537,151,700"
"May 14, 2025","4,000.00","4,090.00","3,960.00","4,090.00","4,090.00","461,642,400"
"May 9, 2025","3,810.00","3,840.00","3,760.00","3,840.00","3,840.00","147,638,100"
"May 8, 2025","3,910.00","3,960.00","3,780.00","3,790.00","3,790.00","224,121,900"
"May 7, 2025","3,900.00","3,910.00","3,870.00","3,910.00","3,910.00","119,763,100"
"May 6, 2025","3,840.00","3,900.00","3,840.00","3,880.00","3,880.00","111,333,800"
"May 5, 2025","3,900.00","3,920.00","3,860.00","3,860.00","3,860.00","196,917,100"
"May 2, 2025","3,920.00","3,920.00","3,850.00","3,880.00","3,880.00","205,628,100"
"Apr 30, 2025","3,810.00","3,850.00","3,770.00","3,850.00","3,850.00","226,832,200"
"Apr 29, 2025","3,860.00","3,870.00","3,820.00","3,850.00","3,850.00","160,631,400"
"Apr 28, 2025","3,790.00","3,850.00","3,780.00","3,840.00","3,840.00","212,945,800"
"Apr 25, 2025","3,770.00","3,790.00","3,730.00","3,740.00","3,740.00","136,517,100"
"Apr 24, 2025","3,790.00","3,840.00","3,720.00","3,730.00","3,730.00","272,537,300"
"Apr 23, 2025","3,660.00","3,790.00","3,640.00","3,760.00","3,760.00","432,999,900"
"Apr 22, 2025","3,600.00","3,650.00","3,600.00","3,630.00","3,630.00","147,116,900"
"Apr 21, 2025","3,620.00","3,660.00","3,570.00","3,620.00","3,620.00","107,470,200"
"Apr 17, 2025","3,670.00","3,670.00","3,610.00","3,640.00","3,640.00","121,059,300"
"Apr 16, 2025","3,690.00","3,700.00","3,600.00","3,650.00","3,650.00","233,772,400"
"Apr 15, 2025","3,730.00","3,780.00","3,680.00","3,690.00","3,690.00","254,224,400"
"Apr 14, 2025","3,630.00","3,690.00","3,620.00","3,690.00","3,690.00","169,458,300"
