Date,Open,High,Low,"Close 
Close price adjusted for splits.","Adj Close 
Adjusted close price adjusted for splits and dividend and/or capital gain distributions.",Volume
"Aug 28, 2025","7,951.87","8,022.76","7,941.94","7,952.09","7,952.09","399,326,600"
"Aug 27, 2025","7,923.00","7,945.44","7,894.76","7,936.18","7,936.18","357,580,800"
"Aug 26, 2025","7,971.79","7,978.07","7,881.21","7,905.76","7,905.76","504,946,100"
"Aug 25, 2025","7,921.02","7,951.98","7,915.05","7,926.91","7,926.91","376,267,300"
"Aug 22, 2025","7,910.10","7,913.39","7,858.85","7,858.85","7,858.85","320,227,000"
"Aug 21, 2025","7,903.29","7,932.31","7,848.88","7,890.71","7,890.71","341,447,000"
"Aug 20, 2025","7,874.90","7,952.34","7,863.86","7,943.83","7,943.83","374,993,100"
"Aug 19, 2025","7,905.35","7,931.76","7,854.10","7,862.95","7,862.95","358,268,400"
"Aug 15, 2025","7,967.77","8,017.07","7,898.37","7,898.38","7,898.38","346,947,400"
"Aug 14, 2025","7,909.02","7,973.98","7,905.55","7,931.25","7,931.25","361,821,900"
"Aug 13, 2025","7,846.12","7,903.05","7,835.30","7,892.91","7,892.91","323,979,600"
"Aug 12, 2025","7,666.09","7,800.83","7,646.91","7,791.70","7,791.70","272,446,300"
"Aug 11, 2025","7,589.46","7,630.11","7,559.35","7,605.92","7,605.92","238,319,300"
"Aug 8, 2025","7,639.19","7,648.90","7,516.98","7,533.38","7,533.38","234,779,100"
"Aug 7, 2025","7,546.34","7,580.55","7,490.18","7,490.18","7,490.18","278,225,900"
"Aug 6, 2025","7,534.45","7,549.27","7,502.01","7,503.75","7,503.75","260,371,600"
"Aug 5, 2025","7,502.69","7,546.94","7,463.06","7,515.19","7,515.19","246,898,000"
"Aug 4, 2025","7,552.50","7,560.06","7,448.04","7,464.65","7,464.65","266,636,100"
"Aug 1, 2025","7,545.15","7,579.61","7,523.62","7,537.77","7,537.77","257,331,800"
"Jul 31, 2025","7,551.24","7,566.75","7,476.38","7,484.34","7,484.34","325,693,000"
"Jul 30, 2025","7,642.25","7,667.56","7,528.13","7,549.89","7,549.89","282,476,700"
"Jul 29, 2025","7,625.79","7,680.19","7,565.79","7,617.91","7,617.91","230,535,000"
"Jul 28, 2025","7,630.75","7,669.45","7,614.77","7,614.77","7,614.77","229,532,300"
"Jul 25, 2025","7,542.38","7,552.77","7,515.13","7,543.50","7,543.50","215,990,900"
"Jul 24, 2025","7,485.08","7,568.22","7,478.36","7,530.90","7,530.90","242,813,700"
"Jul 23, 2025","7,378.23","7,469.23","7,355.00","7,469.23","7,469.23","247,067,700"
"Jul 22, 2025","7,440.29","7,457.38","7,344.74","7,344.74","7,344.74","279,326,600"
"Jul 21, 2025","7,366.31","7,408.01","7,306.87","7,398.19","7,398.19","287,814,600"
"Jul 18, 2025","7,346.04","7,401.58","7,311.92","7,311.92","7,311.92","273,828,000"
"Jul 17, 2025","7,229.26","7,291.56","7,226.12","7,287.02","7,287.02","202,116,700"
"Jul 16, 2025","7,182.65","7,216.81","7,142.86","7,192.02","7,192.02","227,976,400"
"Jul 15, 2025","7,122.08","7,161.84","7,079.00","7,140.47","7,140.47","199,389,400"
"Jul 14, 2025","7,130.54","7,136.30","7,071.34","7,097.15","7,097.15","205,642,100"
"Jul 11, 2025","7,036.30","7,055.79","7,026.49","7,047.44","7,047.44","165,301,900"
"Jul 10, 2025","6,968.80","7,013.63","6,955.46","7,005.37","7,005.37","167,684,600"
"Jul 9, 2025","6,918.70","6,943.92","6,907.21","6,943.92","6,943.92","157,353,100"
"Jul 8, 2025","6,892.34","6,916.83","6,885.28","6,904.39","6,904.39","151,801,800"
"Jul 7, 2025","6,874.01","6,900.93","6,844.86","6,900.93","6,900.93","120,827,500"
"Jul 4, 2025","6,893.22","6,916.67","6,843.69","6,865.19","6,865.19","132,824,800"
"Jul 3, 2025","6,898.63","6,922.73","6,877.44","6,878.05","6,878.05","154,435,700"
"Jul 2, 2025","6,896.42","6,905.37","6,838.40","6,881.25","6,881.25","182,041,600"
"Jul 1, 2025","6,954.39","6,971.24","6,885.14","6,915.36","6,915.36","149,285,200"
"Jun 30, 2025","6,936.06","6,949.28","6,876.26","6,927.68","6,927.68","167,652,600"
"Jun 26, 2025","6,842.01","6,897.40","6,817.41","6,897.40","6,897.40","154,075,100"
"Jun 25, 2025","6,908.92","6,918.78","6,814.74","6,832.14","6,832.14","170,914,900"
"Jun 24, 2025","6,864.28","6,924.97","6,852.11","6,869.17","6,869.17","186,087,300"
"Jun 23, 2025","6,833.48","6,834.77","6,745.15","6,787.14","6,787.14","226,947,900"
"Jun 20, 2025","6,948.28","6,956.81","6,873.72","6,907.14","6,907.14","331,625,100"
"Jun 19, 2025","7,107.79","7,115.90","6,935.01","6,968.64","6,968.64","222,226,000"
"Jun 18, 2025","7,155.12","7,166.67","7,089.46","7,107.79","7,107.79","180,387,400"
"Jun 17, 2025","7,163.03","7,181.47","7,143.60","7,155.85","7,155.85","173,034,400"
"Jun 16, 2025","7,158.90","7,211.54","7,117.59","7,117.59","7,117.59","224,577,700"
"Jun 13, 2025","7,191.12","7,192.66","7,149.61","7,166.06","7,166.06","230,230,400"
"Jun 12, 2025","7,219.56","7,237.27","7,191.90","7,204.37","7,204.37","281,607,200"
"Jun 11, 2025","7,232.68","7,239.96","7,172.20","7,222.46","7,222.46","262,581,600"
"Jun 10, 2025","7,136.86","7,230.75","7,133.38","7,230.75","7,230.75","265,169,800"
"Jun 5, 2025","7,100.24","7,136.64","7,083.89","7,113.42","7,113.42","193,147,800"
"Jun 4, 2025","7,083.24","7,094.45","7,052.91","7,069.04","7,069.04","232,777,400"
"Jun 3, 2025","7,071.64","7,090.35","6,994.16","7,044.82","7,044.82","199,730,400"
"Jun 2, 2025","7,134.49","7,152.91","7,035.84","7,065.07","7,065.07","240,143,000"
"May 28, 2025","7,223.51","7,237.34","7,166.68","7,175.82","7,175.82","277,488,600"
"May 27, 2025","7,204.17","7,212.57","7,162.96","7,198.97","7,198.97","245,398,700"
"May 26, 2025","7,231.48","7,240.08","7,129.39","7,188.35","7,188.35","331,040,000"
"May 23, 2025","7,206.36","7,223.25","7,177.25","7,214.16","7,214.16","152,151,100"
"May 22, 2025","7,165.10","7,190.67","7,136.78","7,166.98","7,166.98","201,247,200"
"May 21, 2025","7,114.70","7,170.72","7,109.22","7,142.46","7,142.46","228,188,900"
"May 20, 2025","7,164.15","7,202.82","7,088.62","7,094.60","7,094.60","219,667,500"
"May 19, 2025","7,113.44","7,160.66","7,085.97","7,141.09","7,141.09","227,261,200"
"May 16, 2025","7,092.23","7,106.53","7,009.85","7,106.53","7,106.53","239,677,400"
"May 15, 2025","7,003.15","7,076.74","7,002.37","7,040.16","7,040.16","343,582,300"
"May 14, 2025","6,915.96","6,987.78","6,914.75","6,979.88","6,979.88","272,470,100"
"May 9, 2025","6,849.45","6,882.32","6,811.77","6,832.80","6,832.80","164,380,000"
"May 8, 2025","6,945.98","6,965.93","6,824.65","6,827.75","6,827.75","260,892,400"
"May 7, 2025","6,925.25","6,970.50","6,909.96","6,926.23","6,926.23","187,668,100"
"May 6, 2025","6,860.45","6,913.69","6,858.15","6,898.20","6,898.20","162,346,800"
"May 5, 2025","6,844.37","6,879.11","6,824.40","6,831.95","6,831.95","194,998,400"
"May 2, 2025","6,811.11","6,818.28","6,765.83","6,815.73","6,815.73","183,083,600"
"Apr 30, 2025","6,755.46","6,791.25","6,725.97","6,766.79","6,766.79","210,149,800"
"Apr 29, 2025","6,748.99","6,763.89","6,724.32","6,749.08","6,749.08","193,012,300"
"Apr 28, 2025","6,716.21","6,738.35","6,688.78","6,722.97","6,722.97","164,549,400"
"Apr 25, 2025","6,660.62","6,683.36","6,640.78","6,678.92","6,678.92","169,030,400"
"Apr 24, 2025","6,671.07","6,697.90","6,585.46","6,613.48","6,613.48","159,090,300"
"Apr 23, 2025","6,589.33","6,642.92","6,588.26","6,634.38","6,634.38","184,488,000"
"Apr 22, 2025","6,455.08","6,538.32","6,428.10","6,538.27","6,538.27","150,312,500"
"Apr 21, 2025","6,450.31","6,472.54","6,406.80","6,445.97","6,445.97","108,855,100"
"Apr 17, 2025","6,407.02","6,438.27","6,384.29","6,438.27","6,438.27","131,124,200"
"Apr 16, 2025","6,461.27","6,469.60","6,373.79","6,400.05","6,400.05","142,022,700"
"Apr 15, 2025","6,444.34","6,497.53","6,395.93","6,441.68","6,441.68","147,079,600"
"Apr 14, 2025","6,225.34","6,404.07","6,225.34","6,368.52","6,368.52","149,701,700"
"Apr 11, 2025","6,195.57","6,298.78","6,148.78","6,262.23","6,262.23","117,642,700"
"Apr 10, 2025","6,270.61","6,310.83","6,188.67","6,254.02","6,254.02","181,443,500"
"Apr 9, 2025","5,978.44","6,092.41","5,949.60","5,967.99","5,967.99","150,044,400"
"Apr 8, 2025","5,914.29","6,036.55","5,882.60","5,996.14","5,996.14","184,790,800"
