Date,Open,High,Low,Close,Adj Close,Volume
"Aug 28, 2025","4,790.00","4,850.00","4,770.00","4,770.00","4,770.00","111,707,400"
"Aug 27, 2025","4,840.00","4,880.00","4,800.00","4,800.00","4,800.00","113,576,300"
"Aug 26, 2025","4,950.00","4,950.00","4,860.00","4,900.00","4,900.00","308,891,700"
"Aug 25, 2025","4,950.00","4,980.00","4,920.00","4,950.00","4,950.00","149,580,800"
"Aug 22, 2025","4,920.00","4,920.00","4,870.00","4,890.00","4,890.00","73,104,500"
"Aug 21, 2025","4,950.00","4,950.00","4,860.00","4,900.00","4,900.00","132,019,200"
"Aug 20, 2025","4,790.00","4,950.00","4,780.00","4,950.00","4,950.00","144,622,900"
"Aug 19, 2025","4,860.00","4,870.00","4,780.00","4,800.00","4,800.00","116,454,000"
"Aug 15, 2025","4,890.00","4,930.00","4,850.00","4,850.00","4,850.00","126,685,400"
"Aug 14, 2025","4,910.00","4,930.00","4,840.00","4,850.00","4,850.00","109,457,100"
"Aug 13, 2025","4,930.00","4,970.00","4,860.00","4,870.00","4,870.00","180,844,900"
"Aug 12, 2025","4,770.00","4,920.00","4,750.00","4,910.00","4,910.00","301,599,000"
"Aug 11, 2025","4,710.00","4,780.00","4,700.00","4,720.00","4,720.00","105,204,200"
"Aug 8, 2025","4,680.00","4,700.00","4,660.00","4,670.00","4,670.00","71,516,700"
"Aug 7, 2025","4,740.00","4,740.00","4,680.00","4,680.00","4,680.00","61,453,100"
"Aug 6, 2025","4,750.00","4,750.00","4,690.00","4,700.00","4,700.00","79,277,900"
"Aug 5, 2025","4,690.00","4,780.00","4,660.00","4,750.00","4,750.00","277,668,300"
"Aug 4, 2025","4,530.00","4,630.00","4,510.00","4,620.00","4,620.00","174,404,800"
"Aug 1, 2025","4,570.00","4,610.00","4,510.00","4,530.00","4,530.00","157,949,900"
"Jul 31, 2025","4,610.00","4,640.00","4,510.00","4,510.00","4,510.00","155,903,600"
"Jul 30, 2025","4,710.00","4,720.00","4,620.00","4,620.00","4,620.00","141,263,400"
"Jul 29, 2025","4,700.00","4,720.00","4,690.00","4,710.00","4,710.00","74,422,700"
"Jul 28, 2025","4,730.00","4,750.00","4,690.00","4,700.00","4,700.00","112,048,900"
"Jul 25, 2025","4,800.00","4,800.00","4,690.00","4,690.00","4,690.00","88,471,700"
"Jul 24, 2025","4,690.00","4,840.00","4,680.00","4,800.00","4,800.00","273,623,100"
"Jul 23, 2025","4,660.00","4,690.00","4,660.00","4,680.00","4,680.00","115,298,400"
"Jul 22, 2025","4,680.00","4,710.00","4,650.00","4,660.00","4,660.00","132,984,400"
"Jul 21, 2025","4,770.00","4,770.00","4,680.00","4,680.00","4,680.00","103,387,400"
"Jul 18, 2025","4,760.00","4,810.00","4,720.00","4,740.00","4,740.00","161,262,400"
"Jul 17, 2025","4,700.00","4,720.00","4,680.00","4,720.00","4,720.00","120,304,000"
"Jul 16, 2025","4,730.00","4,760.00","4,680.00","4,690.00","4,690.00","323,831,100"
"Jul 15, 2025","4,700.00","4,740.00","4,690.00","4,700.00","4,700.00","206,958,200"
"Jul 14, 2025","4,980.00","4,990.00","4,670.00","4,690.00","4,690.00","429,438,700"
"Jul 11, 2025","4,850.00","4,990.00","4,830.00","4,970.00","4,970.00","219,980,300"
"Jul 10, 2025","4,750.00","4,830.00","4,730.00","4,820.00","4,820.00","160,889,700"
"Jul 9, 2025","4,720.00","4,760.00","4,670.00","4,710.00","4,710.00","110,198,500"
"Jul 8, 2025","4,710.00","4,750.00","4,700.00","4,720.00","4,720.00","132,853,800"
"Jul 7, 2025","4,740.00","4,750.00","4,680.00","4,740.00","4,740.00","120,538,300"
"Jul 4, 2025","4,750.00","4,790.00","4,700.00","4,740.00","4,740.00","104,170,500"
"Jul 3, 2025","4,780.00","4,850.00","4,720.00","4,740.00","4,740.00","103,849,000"
"Jul 2, 2025","4,730.00","4,770.00","4,710.00","4,770.00","4,770.00","159,152,200"
"Jul 1, 2025","4,900.00","4,910.00","4,710.00","4,750.00","4,750.00","319,875,800"
"Jun 30, 2025","5,050.00","5,050.00","4,880.00","4,880.00","4,880.00","220,479,900"
"Jun 26, 2025","4,950.00","5,025.00","4,910.00","5,025.00","5,025.00","94,704,500"
"Jun 25, 2025","5,025.00","5,050.00","4,880.00","4,880.00","4,880.00","139,963,400"
"Jun 24, 2025","5,050.00","5,125.00","5,025.00","5,025.00","5,025.00","126,563,900"
"Jun 23, 2025","4,870.00","4,930.00","4,800.00","4,920.00","4,920.00","119,439,200"
"Jun 20, 2025","4,940.00","4,990.00","4,830.00","4,930.00","4,930.00","301,154,300"
"Jun 19, 2025","5,050.00","5,050.00","4,910.00","4,970.00","4,970.00","114,769,600"
"Jun 18, 2025","5,075.00","5,100.00","5,025.00","5,075.00","5,075.00","53,353,000"
"Jun 17, 2025","5,175.00","5,225.00","5,100.00","5,100.00","5,100.00","70,657,700"
"Jun 16, 2025","5,150.00","5,200.00","5,100.00","5,150.00","5,150.00","61,695,600"
"Jun 13, 2025","5,175.00","5,250.00","5,100.00","5,150.00","5,150.00","128,071,000"
"Jun 12, 2025","5,225.00","5,225.00","5,125.00","5,175.00","5,175.00","72,423,700"
"Jun 11, 2025","5,300.00","5,300.00","5,150.00","5,200.00","5,200.00","90,666,100"
"Jun 10, 2025","5,075.00","5,250.00","5,075.00","5,250.00","5,250.00","158,265,000"
"Jun 5, 2025","5,050.00","5,075.00","5,000.00","5,075.00","5,075.00","69,179,700"
"Jun 4, 2025","5,125.00","5,125.00","4,980.00","5,025.00","5,025.00","139,577,800"
"Jun 3, 2025","5,100.00","5,125.00","4,950.00","5,050.00","5,050.00","169,321,800"
"Jun 2, 2025","5,200.00","5,250.00","5,025.00","5,075.00","5,075.00","373,474,500"
"May 28, 2025","5,400.00","5,425.00","5,300.00","5,300.00","5,300.00","190,669,100"
"May 27, 2025","5,500.00","5,500.00","5,400.00","5,400.00","5,400.00","86,083,800"
"May 26, 2025","5,425.00","5,475.00","5,300.00","5,475.00","5,475.00","102,960,800"
"May 23, 2025","5,450.00","5,475.00","5,375.00","5,425.00","5,425.00","67,336,400"
"May 22, 2025","5,450.00","5,500.00","5,400.00","5,450.00","5,450.00","137,585,600"
"May 21, 2025","5,400.00","5,550.00","5,375.00","5,450.00","5,450.00","167,239,400"
"May 20, 2025","5,500.00","5,550.00","5,350.00","5,400.00","5,400.00","145,525,700"
"May 19, 2025","5,450.00","5,575.00","5,400.00","5,525.00","5,525.00","191,440,600"
"May 16, 2025","5,425.00","5,475.00","5,200.00","5,475.00","5,475.00","229,382,100"
"May 15, 2025","5,075.00","5,400.00","5,050.00","5,325.00","5,325.00","300,147,300"
"May 14, 2025","4,890.00","5,050.00","4,880.00","5,050.00","5,050.00","342,468,200"
"May 9, 2025","4,790.00","4,830.00","4,750.00","4,770.00","4,770.00","164,014,200"
"May 8, 2025","4,960.00","5,025.00","4,790.00","4,790.00","4,790.00","205,199,700"
"May 7, 2025","5,050.00","5,050.00","4,950.00","4,950.00","4,950.00","100,674,600"
"May 6, 2025","5,025.00","5,050.00","4,980.00","4,980.00","4,980.00","120,165,500"
"May 5, 2025","4,990.00","5,100.00","4,960.00","4,980.00","4,980.00","154,073,100"
"May 2, 2025","4,980.00","4,980.00","4,910.00","4,960.00","4,960.00","146,800,800"
"Apr 30, 2025","4,900.00","4,920.00","4,810.00","4,890.00","4,890.00","278,360,600"
"Apr 29, 2025","4,930.00","4,950.00","4,880.00","4,940.00","4,940.00","108,857,600"
"Apr 28, 2025","4,950.00","4,980.00","4,890.00","4,920.00","4,920.00","90,697,900"
"Apr 25, 2025","4,960.00","4,960.00","4,900.00","4,900.00","4,900.00","134,208,400"
"Apr 24, 2025","4,950.00","5,025.00","4,860.00","4,890.00","4,890.00","282,970,000"
"Apr 23, 2025","4,780.00","4,900.00","4,740.00","4,900.00","4,900.00","273,395,600"
"Apr 22, 2025","4,610.00","4,720.00","4,590.00","4,720.00","4,720.00","126,426,200"
"Apr 21, 2025","4,600.00","4,640.00","4,560.00","4,610.00","4,610.00","83,034,600"
"Apr 17, 2025","4,630.00","4,660.00","4,570.00","4,600.00","4,600.00","165,381,400"
"Apr 16, 2025","4,740.00","4,750.00","4,590.00","4,630.00","4,630.00","201,660,000"
"Apr 15, 2025","4,800.00","4,820.00","4,710.00","4,710.00","4,710.00","230,981,700"
